contrast,estimate,SE,df,t.ratio,p.value,cell_type,direction,p_adj_BH
abdomen effect,0.967993000566951,0.955503395475257,22.6991988980976,1.01307123046432,0.575007061239943,Adipocytes,Enriched,0.996638155433857
bladder effect,-0.102002554979338,0.973839466147476,23.6118870084578,-0.104742679389306,0.917464676859831,Adipocytes,Depleted,0.996638155433857
bone effect,-0.621461872495649,0.774349476314911,16.3198311765886,-0.802559944191032,0.575007061239943,Adipocytes,Depleted,0.996638155433857
brain effect,0.794396660650548,0.955503395475265,22.699198898097,0.83139072494391,0.575007061239943,Adipocytes,Enriched,0.996638155433857
dura effect,0.428396279311782,0.771471459630469,20.6664961866254,0.555297637992961,0.657734022989735,Adipocytes,Enriched,0.996638155433857
liver effect,-1.85489887361649,0.405462509086925,23.998526875353,-4.57477283853839,0.00110219285710208,Adipocytes,Depleted,0.0480935906521505
LN effect,-0.945444475249839,0.357658473508936,21.0343472699301,-2.6434281452197,0.0455481660146022,Adipocytes,Depleted,0.500109634175926
lung effect,-0.551607775031104,0.713410723221742,23.153282576362,-0.773198042973141,0.575007061239943,Adipocytes,Depleted,0.996638155433857
prostate effect,1.88462961084313,0.693022769528403,22.764111930983,2.71943389699246,0.0455481660146022,Adipocytes,Enriched,0.500109634175926
abdomen effect,-0.246015517353579,0.929261446903172,22.1336688851948,-0.264743058235594,0.91507811527607,Fibroblasts,Depleted,0.996638155433857
bladder effect,-0.144116108480422,0.964918254555433,23.7419079943968,-0.149355769569123,0.91507811527607,Fibroblasts,Depleted,0.996638155433857
bone effect,0.0842204008236919,0.77831693633709,17.263877328364,0.108208362033145,0.91507811527607,Fibroblasts,Enriched,0.996638155433857
brain effect,0.645012453033812,0.929261446903168,22.1336688851947,0.694113002517606,0.819150336256402,Fibroblasts,Enriched,0.996638155433857
dura effect,0.864578691591008,0.764828988925918,21.7710825828133,1.13042092298982,0.819150336256402,Fibroblasts,Enriched,0.996638155433857
liver effect,-0.533252828214093,0.397849533716968,23.9473058711042,-1.34033794945566,0.819150336256402,Fibroblasts,Depleted,0.996638155433857
LN effect,0.253688816770585,0.348208067080998,20.6893443674205,0.728555254038884,0.819150336256402,Fibroblasts,Enriched,0.996638155433857
lung effect,-0.510133516685292,0.69269509696545,22.5488094821015,-0.73644741953578,0.819150336256402,Fibroblasts,Depleted,0.996638155433857
prostate effect,-0.413982391485713,0.675410044010921,22.3729214191373,-0.612934905479461,0.819150336256402,Fibroblasts,Depleted,0.996638155433857
abdomen effect,-2.1733856068963,0.630009749042572,23.1307015484944,-3.44976503966676,0.019494593643842,Macrophages,Depleted,0.307039849890511
bladder effect,-1.40898232998075,0.632363353754001,23.514786154334,-2.22812141408318,0.0803421757713772,Macrophages,Depleted,0.532795481431238
bone effect,0.0924349054397288,0.496470030879035,15.6387817299604,0.186184260258502,0.854693877116293,Macrophages,Enriched,0.996638155433857
brain effect,1.4271895708609,0.630009749042575,23.130701548494,2.26534521573641,0.0803421757713772,Macrophages,Enriched,0.532795481431238
dura effect,0.917976635302087,0.500193707307014,19.6618780610783,1.83524227092814,0.146959495216554,Macrophages,Enriched,0.783576609313984
liver effect,0.323777798826925,0.265269904446576,23.9305259682785,1.22055986525276,0.351215589142096,Macrophages,Enriched,0.996638155433857
LN effect,0.0908393992775776,0.235713791492561,21.320882135506,0.385380077688176,0.791745596709411,Macrophages,Enriched,0.996638155433857
lung effect,1.07383161441809,0.471151514471516,23.5793952848493,2.2791640935774,0.0803421757713772,Macrophages,Enriched,0.532795481431238
prostate effect,-0.343681987248265,0.456604862070429,23.0785541901258,-0.752690161225776,0.590458474649123,Macrophages,Depleted,0.996638155433857
abdomen effect,-0.502196861194603,1.07198263817612,21.99243991715,-0.468474808555709,0.694938699948882,EndoMT,Depleted,0.996638155433857
bladder effect,2.14282459902415,1.11816566475359,23.7734741907374,1.91637488662859,0.606745742744074,EndoMT,Enriched,0.996638155433857
bone effect,0.71436863970628,0.904919243421581,17.5107191186318,0.789428056591202,0.694938699948882,EndoMT,Enriched,0.996638155433857
brain effect,-1.05528282281593,1.07198263817612,21.9924399171496,-0.984421561725472,0.694938699948882,EndoMT,Depleted,0.996638155433857
dura effect,0.352146106010041,0.886245878933909,22.0150763457441,0.397345831874161,0.694938699948882,EndoMT,Enriched,0.996638155433857
liver effect,-0.24742943482266,0.459906634499928,23.913833740749,-0.537999272595183,0.694938699948882,EndoMT,Depleted,0.996638155433857
LN effect,-0.603054458114974,0.401817571351193,20.6057493122487,-1.50081654241023,0.668571287284273,EndoMT,Depleted,0.996638155433857
lung effect,-0.339763890905664,0.798809749704644,22.3941577766231,-0.425337686515832,0.694938699948882,EndoMT,Depleted,0.996638155433857
prostate effect,-0.461611876886636,0.779655617795728,22.276486969525,-0.592071507406979,0.694938699948882,EndoMT,Depleted,0.996638155433857
abdomen effect,-1.62942737775857,0.781011864923429,19.0647928454949,-2.08630297558709,0.113897031571298,Endothelial cells,Depleted,0.652319362635616
bladder effect,-0.408413567082502,0.89373633894491,23.6616607048625,-0.456973213783217,0.838103173795485,Endothelial cells,Depleted,0.996638155433857
bone effect,0.842848891247061,0.767112720762304,23.1782433870955,1.09872886791591,0.424753162793247,Endothelial cells,Enriched,0.996638155433857
brain effect,-2.18251333937988,0.781011864923427,19.064792845495,-2.79446886455926,0.0519159232504317,Endothelial cells,Depleted,0.503185102273415
dura effect,0.955491395673977,0.698071918893679,23.691253576561,1.36875781679954,0.331046301901929,Endothelial cells,Enriched,0.996638155433857
liver effect,1.39852568072027,0.347786645075414,21.6621799300205,4.02121731965014,0.00528472250882754,Endothelial cells,Enriched,0.133175007222454
LN effect,0.752433376627002,0.29545530189796,18.7923241635131,2.54669106221308,0.0594129304414639,Endothelial cells,Enriched,0.532795481431238
lung effect,0.157222990380293,0.57968468801937,19.1919266925682,0.271221568603929,0.846165618484837,Endothelial cells,Enriched,0.996638155433857
prostate effect,0.113831949572352,0.579172302261469,20.0346992521276,0.196542460901319,0.846165618484837,Endothelial cells,Enriched,0.996638155433857
abdomen effect,-1.39634758444525,1.01701801206568,20.5830582147536,-1.37298215752257,0.721077460320741,Pericytes,Depleted,0.996638155433857
bladder effect,-0.523768326409351,1.10889958975081,23.9948935586465,-0.472331608064757,0.721077460320741,Pericytes,Depleted,0.996638155433857
bone effect,0.723824986553175,0.924626204336393,20.2216209413944,0.782829843193409,0.721077460320741,Pericytes,Enriched,0.996638155433857
brain effect,-0.850821257398469,1.01701801206568,20.5830582147533,-0.836584256428608,0.721077460320741,Pericytes,Depleted,0.996638155433857
dura effect,0.94053123406584,0.875346703207502,23.729234102748,1.07446710042945,0.721077460320741,Pericytes,Enriched,0.996638155433857
liver effect,-0.243546256136005,0.44465240059374,23.189307763123,-0.547722796078015,0.721077460320741,Pericytes,Depleted,0.996638155433857
LN effect,0.787909884012402,0.382736944101123,19.7737366592967,2.05861988542248,0.476552262159569,Pericytes,Enriched,0.996638155433857
lung effect,0.209222628805245,0.755944112508958,20.836458053076,0.276769969291566,0.784683715394722,Pericytes,Enriched,0.996638155433857
prostate effect,0.352994690952416,0.74585873823926,21.2847846549636,0.473272850279567,0.721077460320741,Pericytes,Enriched,0.996638155433857
abdomen effect,-1.03798170237549,1.27819201861638,21.9674850157309,-0.812070242387432,0.757967431048043,T cells,Depleted,0.996638155433857
bladder effect,1.27854204321863,1.33432099830829,23.7789744722972,0.958196749387606,0.757967431048043,T cells,Enriched,0.996638155433857
bone effect,-0.0405769736804331,1.08047403429905,17.5548247257611,-0.0375547883543143,0.970466426819302,T cells,Depleted,0.996638155433857
brain effect,0.865668108824517,1.27819201861638,21.9674850157308,0.677259829678479,0.757967431048043,T cells,Enriched,0.996638155433857
dura effect,0.0989793866998677,1.05754937717237,22.0569076413832,0.0935931587085929,0.970466426819302,T cells,Enriched,0.996638155433857
liver effect,-0.449356476436161,0.548573932011235,23.9071233796012,-0.819135671993538,0.757967431048043,T cells,Depleted,0.996638155433857
LN effect,0.325681962339125,0.479140495295963,20.5910368779592,0.679721220678608,0.757967431048043,T cells,Enriched,0.996638155433857
lung effect,-0.698127514170205,0.952415335721351,22.3667441481085,-0.733007426472662,0.757967431048043,T cells,Depleted,0.996638155433857
prostate effect,-0.342828834419853,0.929744274073449,22.2594532547874,-0.368734547745942,0.920326530063616,T cells,Depleted,0.996638155433857
abdomen effect,1.65729164743041,0.965955795178938,22.1095914557381,1.71570133509412,0.180357939555483,Epithelial cells,Enriched,0.874042322461187
bladder effect,-1.88854437252425,1.00379753260685,23.7473366184751,-1.8813996958328,0.162524031833505,Epithelial cells,Depleted,0.819121120440864
bone effect,-0.98759514880505,0.810139521322496,17.3056299292067,-1.21904329169483,0.307522543589622,Epithelial cells,Depleted,0.996638155433857
brain effect,0.216902490808193,0.965955795178939,22.109591455738,0.224547015392162,0.824393903909949,Epithelial cells,Enriched,0.996638155433857
dura effect,-1.11433010560132,0.795642117912029,21.813552595558,-1.40054187745316,0.26312371147281,Epithelial cells,Depleted,0.996638155433857
liver effect,0.233313398949797,0.4137073668038,23.9421471275346,0.563957564382569,0.650281564446388,Epithelial cells,Enriched,0.996638155433857
LN effect,-1.70071787633855,0.361977434265827,20.6750475635584,-4.69840856181543,0.00114508549171787,Epithelial cells,Depleted,0.0480935906521505
lung effect,1.90155245591268,0.720004917290935,22.5225095740804,2.64102704057549,0.066376749915296,Epithelial cells,Enriched,0.532795481431238
prostate effect,1.68212751016809,0.702156901049442,22.3564713464764,2.39565759113666,0.0761450847506952,Epithelial cells,Enriched,0.532795481431238
abdomen effect,0.0571359057917343,1.0614374361313,23.1261480379318,0.053828802194863,0.995222479680728,Lymphatic endothelial cells,Enriched,0.996638155433857
bladder effect,-0.518058626444409,1.06558313462149,23.5157771477711,-0.486173823151239,0.995222479680728,Lymphatic endothelial cells,Depleted,0.996638155433857
bone effect,0.0446034203606939,0.836714715467131,15.6458468881558,0.0533077995835082,0.995222479680728,Lymphatic endothelial cells,Enriched,0.996638155433857
brain effect,-0.495950055829591,1.0614374361313,23.1261480379319,-0.467243795015577,0.995222479680728,Lymphatic endothelial cells,Depleted,0.996638155433857
dura effect,-0.973855407103955,0.842885772787182,19.6734254869223,-1.1553824237461,0.810014057886085,Lymphatic endothelial cells,Depleted,0.996638155433857
liver effect,0.50471413813566,0.446965244417838,23.9318506261784,1.12920220182453,0.810014057886085,Lymphatic endothelial cells,Enriched,0.996638155433857
LN effect,1.62031868862219,0.397130427116285,21.3176732373257,4.08006684450734,0.00470775092576703,Lymphatic endothelial cells,Enriched,0.133175007222454
lung effect,-0.234251586386261,0.793778167932808,23.5751918024047,-0.29510963623037,0.995222479680728,Lymphatic endothelial cells,Depleted,0.996638155433857
prostate effect,-0.00465647714606604,0.769287133414613,23.0751017104213,-0.00605297676746193,0.995222479680728,Lymphatic endothelial cells,Depleted,0.996638155433857
abdomen effect,0.573043699338112,1.21190452489195,23.9205322432407,0.472845581122988,0.960914198727921,Hepotocytes,Enriched,0.996638155433857
bladder effect,-0.228283001478026,1.17093571287432,23.3745914828734,-0.194957758114368,0.986997558616597,Hepotocytes,Depleted,0.996638155433857
bone effect,-1.36254153733342,0.885075327403319,14.3602867805131,-1.53946392487396,0.654445955180916,Hepotocytes,Depleted,0.996638155433857
brain effect,0.0199577377167954,1.21190452489196,23.9205322432396,0.0164680775645876,0.986997558616597,Hepotocytes,Enriched,0.996638155433857
dura effect,-0.545396999378799,0.917644627721255,16.8505239586858,-0.594344458522204,0.960914198727921,Hepotocytes,Depleted,0.996638155433857
liver effect,2.56872716075505,0.499024684721365,23.2716820701207,5.14749518290728,0.000281611579131144,Hepotocytes,Enriched,0.0354830589705242
LN effect,-0.30025260692889,0.454345697805721,22.0868723473728,-0.660846153884523,0.960914198727921,Hepotocytes,Depleted,0.996638155433857
lung effect,0.139448594278698,0.911646871762697,23.9352765764557,0.15296338812535,0.986997558616597,Hepotocytes,Enriched,0.996638155433857
prostate effect,-0.86470304696952,0.883534663125209,23.8076735194716,-0.97868604714491,0.960914198727921,Hepotocytes,Depleted,0.996638155433857
abdomen effect,0.888082772105579,1.45315761238166,23.9205322432404,0.611140019870284,0.701847707100234,B cells,Enriched,0.996638155433857
bladder effect,0.086756071289432,1.4040331641839,23.3745914828733,0.0617906139986798,0.951254901799869,B cells,Enriched,0.996638155433857
bone effect,1.79868975028595,1.06126672780759,14.3602867805129,1.69485173063115,0.502516001139429,B cells,Enriched,0.996638155433857
brain effect,-1.27444110194985,1.45315761238164,23.9205322432396,-0.877015054038849,0.700563132739226,B cells,Depleted,0.996638155433857
dura effect,-1.03507688282839,1.10031957868392,16.8505239586857,-0.940705684857877,0.700563132739226,B cells,Depleted,0.996638155433857
liver effect,-0.78372964083805,0.598365221413667,23.2716820701207,-1.30978474816175,0.609155875883442,B cells,Depleted,0.996638155433857
LN effect,1.41244553571427,0.544792016085666,22.0868723473726,2.59263259007116,0.149252687488378,B cells,Enriched,0.783576609313984
lung effect,-0.543062529576886,1.09312785314006,23.9352765764557,-0.49679690076226,0.701847707100234,B cells,Depleted,0.996638155433857
prostate effect,-0.549663974202062,1.05941936444037,23.8076735194715,-0.518835121059372,0.701847707100234,B cells,Depleted,0.996638155433857
abdomen effect,-0.687561790019579,1.23375785472693,22.1934028606272,-0.557290709344061,0.744642025684928,Plasma cells,Depleted,0.996638155433857
bladder effect,2.06744324030051,1.27863340244442,23.7283701980002,1.61691633923225,0.744642025684928,Plasma cells,Enriched,0.996638155433857
bone effect,-0.458270212934024,1.02989374741158,17.1608715931455,-0.444968438817877,0.744642025684928,Plasma cells,Depleted,0.996638155433857
brain effect,-1.2406477516409,1.23375785472693,22.1934028606272,-1.00558448068847,0.744642025684928,Plasma cells,Depleted,0.996638155433857
dura effect,-0.204829744339041,1.01349411880639,21.6641635654563,-0.202102548537995,0.841722373339238,Plasma cells,Depleted,0.996638155433857
liver effect,-0.323275156432386,0.527744106812776,23.9591144464931,-0.612560428925968,0.744642025684928,Plasma cells,Depleted,0.996638155433857
LN effect,0.383121238304066,0.462246914829743,20.7249074122665,0.828823786623173,0.744642025684928,Plasma cells,Enriched,0.996638155433857
lung effect,1.12119730044074,0.91981354473136,22.6139217477969,1.21893975889232,0.744642025684928,Plasma cells,Enriched,0.996638155433857
prostate effect,-0.657177123679375,0.896488344426257,22.4137632796756,-0.733057075159144,0.744642025684928,Plasma cells,Depleted,0.996638155433857
abdomen effect,0.00440458057548393,1.03449408768179,23.9205322432387,0.00425771459492264,0.996638155433857,Chondrocytes,Enriched,0.996638155433857
bladder effect,0.301690168427465,0.999522691056825,23.3745914828734,0.301834236607955,0.996638155433857,Chondrocytes,Enriched,0.996638155433857
bone effect,2.1398024770883,0.75550934462712,14.360286780513,2.83226473941814,0.096329438968729,Chondrocytes,Enriched,0.577976633812374
brain effect,-0.548681381045822,1.03449408768179,23.9205322432397,-0.530386193192623,0.996638155433857,Chondrocytes,Depleted,0.996638155433857
dura effect,-0.564729973807361,0.783310832225197,16.8505239586859,-0.720952590688807,0.996638155433857,Chondrocytes,Depleted,0.996638155433857
liver effect,-0.341291254339648,0.425972570733283,23.2716820701206,-0.80120476713357,0.996638155433857,Chondrocytes,Depleted,0.996638155433857
LN effect,-0.960442749747184,0.387834130898703,22.0868723473726,-2.47642657834578,0.096329438968729,Chondrocytes,Depleted,0.577976633812374
lung effect,0.0485651980297987,0.778191086444035,23.9352765764558,0.0624078055837399,0.996638155433857,Chondrocytes,Enriched,0.996638155433857
prostate effect,-0.0793170651810335,0.754194217854283,23.8076735194715,-0.105167957143313,0.996638155433857,Chondrocytes,Depleted,0.996638155433857
abdomen effect,4.18404014176807,1.19509259872909,22.8545318187607,3.50101753304935,0.00871447529824485,Neurons,Enriched,0.156860555368407
bladder effect,-0.949192472972067,1.21152671656782,23.5763458441454,-0.783468049025834,0.482408985326091,Neurons,Depleted,0.996638155433857
bone effect,-2.44995089167648,0.959175853702802,16.0715246047532,-2.55422494448613,0.0476294889691358,Neurons,Depleted,0.500109634175926
brain effect,4.33828599569867,1.19509259872909,22.8545318187602,3.6300835603134,0.00871447529824485,Neurons,Enriched,0.156860555368407
dura effect,-1.11369913365685,0.959367390475856,20.3237539990502,-1.16086823954318,0.333192552196061,Neurons,Depleted,0.996638155433857
liver effect,-0.360884215063665,0.505779668735201,23.9863968136579,-0.713520604665911,0.482408985326091,Neurons,Depleted,0.996638155433857
LN effect,-1.165173854442,0.447245568591146,21.1340756370667,-2.60522168640458,0.0476294889691358,Neurons,Depleted,0.500109634175926
lung effect,-1.46239768106593,0.892773566278391,23.3119851749106,-1.63803873266775,0.206716235753321,Neurons,Depleted,0.964675766848832
prostate effect,-1.02102788858977,0.86646572581019,22.8748345071997,-1.17838231585566,0.333192552196061,Neurons,Depleted,0.996638155433857
